"bus_rest.business_id" "bus_rest.stars" "bus_rest.longitude" "bus_rest.latitude" "bus_rest.state" "bus_rest.attributes.RestaurantsTakeOut" "bus_rest.attributes.RestaurantsReservations" "bus_rest.attributes.WiFi" "bus_rest.attributes.Caters"
"84" "EUgHFeAvock2Ut3iWPlG8Q" 3 -79.7679416151 40.4384319694 "PA" TRUE FALSE "free" FALSE
"86" "Wbi-x-1Nbn6LFCMOSN6F5Q" 2.5 -115.2080128 36.2794672 "NV" TRUE FALSE "no" TRUE
"87" "U2a9GUewP6LyOilaQhue9g" 4.5 -80.6925926 35.0819793 "NC" TRUE FALSE "no" TRUE
"88" "vEsAPc0fEDP1YPeSQanxfQ" 2.5 -82.077622 41.420655 "OH" TRUE FALSE "no" FALSE
"90" "vIstiRtK87OXR9aT54_8qQ" 3 -3.1775695 55.9504255 "EDH" TRUE TRUE "free" FALSE
"91" "d8zFMcZ64Hwpj6IP6FscLg" 3.5 -79.3526012 43.7858985216 "ON" TRUE FALSE "no" TRUE
"92" "pPNcs_59jNiQSs0Yq13bGw" 3 -112.0674961 33.4453626 "AZ" TRUE TRUE "free" FALSE
"93" "5sTFevXhGx01eLT4wF7Urg" 3.5 -111.923811682 33.624424933 "AZ" TRUE TRUE "no" FALSE
"94" "W-3Sy3fy85mQdd0ZNFKIiw" 2.5 -115.243588275 36.1252695702 "NV" TRUE FALSE "free" FALSE
"95" "bGSVy6nFFzpRMERVta3JiQ" 4 -81.339388 41.6729943 "OH" TRUE FALSE "free" FALSE
"99" "TqAXKLF1P5XAIG9Uq2eUmQ" 4.5 -112.1215774 33.4659515 "AZ" TRUE FALSE "no" TRUE
"100" "6I6uDGwCDggrWXi2T4lfaA" 3.5 -73.5802893 45.4931101 "QC" TRUE FALSE "no" FALSE
"101" "fbLYRHIZAt3q839whhaBUg" 3.5 -111.98229337 33.5996610763 "AZ" TRUE FALSE "no" TRUE
"103" "EjaTArl3ofSeqpDdpGmdCg" 3.5 -73.4058219 45.4980043 "QC" TRUE TRUE "no" FALSE
"105" "wM8QNs7uSyDqMJKjBYFPCQ" 3.5 -73.6743764798 45.7306442686 "QC" FALSE TRUE "no" TRUE
"107" "uHGXcZ7Tydcg3HZ74S7Efg" 4 -79.3815001 43.6466263 "ON" TRUE TRUE "free" FALSE
"109" "YHXczxm4W3BkGT-z7vZBBw" 3.5 -79.3827591 43.6610723 "ON" TRUE FALSE "free" FALSE
"111" "Pt24B_tPolf9AhWoWD--qw" 2.5 -73.5831922 45.5932632 "QC" FALSE TRUE "paid" FALSE
"113" "rihKlAiPgJa5XcpZ1h9-bw" 1.5 -115.263 36.2707001 "NV" TRUE FALSE "no" FALSE
"116" "qUdGBSFkiPhEL6I718y-Gg" 3.5 -73.575558 45.5469979 "QC" FALSE TRUE "no" FALSE
"117" "0kyhbUW6NkpYjJzFBZ64vQ" 4 -111.925028 33.493385 "AZ" TRUE TRUE "no" TRUE
"119" "dXoeLzpG72P7F2Lwa01riQ" 2.5 -112.359094705 33.6382111448 "AZ" TRUE FALSE "no" TRUE
"122" "NMw6zTXoZDEzNchVIfL1pQ" 3.5 -80.9373579923 35.1358576316 "NC" TRUE TRUE "no" TRUE
"123" "1Ds8V2c7LlwSAA3O-9f4cA" 2 -112.065708 33.4297449 "AZ" TRUE FALSE "free" FALSE
"126" "Z7nGSKvjmHNRkXtoMxA3Jw" 3 -112.112801671 33.7124261365 "AZ" TRUE FALSE "no" FALSE
"130" "9DHE9JieR80pYkpyr19iZQ" 4 -79.1698882 43.7840014 "ON" TRUE TRUE "no" FALSE
"131" "tM_MMrMFwf5rJv9rbu4NQQ" 3 -111.8233017 33.414436 "AZ" TRUE FALSE "no" FALSE
"136" "vjLgZg0DH_9xwcujFNb0pA" 1.5 -115.2083645 36.099494 "NV" TRUE TRUE "no" TRUE
"137" "hupeXWY97YCwZQYC79F6hQ" 3 -80.932129 35.144005 "NC" TRUE FALSE "free" TRUE
"139" "0kzPQQL8wVcHlBQzMdRdWQ" 3.5 -89.4192092 43.0202796 "WI" TRUE FALSE "free" TRUE
"140" "5TXQxcwEfqzBDbMq2zmBPQ" 4 -111.9456801 33.2907071 "AZ" FALSE TRUE "no" FALSE
"143" "O3OH5IEFMPtz7mPKakPZ3Q" 4.5 -115.2509345 36.0552046 "NV" TRUE TRUE "free" TRUE
"144" "koqazXBW7wAZVry72u5vEw" 3 -79.8281362 40.4641337 "PA" TRUE FALSE "no" FALSE
"146" "0B3W6KxkD3o4W4l6cq735w" 3 -79.38049 43.65459 "ON" TRUE FALSE "free" FALSE
"149" "YGU2RnqsJO7Izs1GLDhMLQ" 3.5 -79.3043375 43.8593798 "ON" TRUE TRUE "free" TRUE
"150" "whAwdYVty-jSNRhrYT2zHA" 4 -112.1157964 33.5876541 "AZ" TRUE TRUE "free" TRUE
"151" "puPY7gVy7RCz8bK1zkzdoQ" 4 -111.8499629 33.3795863 "AZ" TRUE TRUE "no" TRUE
"152" "adTbcC7JgvzYg7AD_Ga-rg" 4 -112.0298948 33.4668546 "AZ" TRUE FALSE "no" FALSE
"155" "gpivFNirREOyEAwxVebR5g" 2.5 -111.9607244 33.3778358 "AZ" TRUE FALSE "no" FALSE
"159" "ky4AyA_y6gx20tf95mZxSA" 3.5 -81.204205 41.570459 "OH" TRUE TRUE "free" TRUE
"161" "8n4dyb1m1BwHltydpH-Qhg" 3 -79.6664146 43.5089643 "ON" TRUE TRUE "no" FALSE
"163" "6tR-uUoy8CScXuSRMw2igQ" 3.5 9.1615459 48.7223941 "BW" TRUE TRUE "no" FALSE
"167" "nzbQXU2x7O8oucKGthUT3g" 4 -111.887854198 33.6741553034 "AZ" TRUE TRUE "no" TRUE
"169" "BVxen382pORVZNQEDdQlKQ" 3 -79.3849352 43.7690889 "ON" TRUE TRUE "no" TRUE
"170" "1_y5e1u-o93EKOigXgR3LQ" 4 -79.5843334 43.552332 "ON" TRUE FALSE "no" TRUE
"171" "XoSJDOBj8Pf8GOhhOuw9mw" 3.5 -79.4212193 43.6394628 "ON" TRUE FALSE "no" TRUE
"173" "VUb97h3RTg6InKdfgB49Bw" 4 -81.6026252 41.5111069 "OH" TRUE FALSE "free" FALSE
"175" "F6Ujpp1Kh7L_3uUfoUsTlw" 4 -79.7897243 40.3239065 "PA" TRUE FALSE "no" TRUE
"177" "V80NaT5ZnfuA31yW3Y5Pdg" 5 -89.3862126 43.0747316 "WI" TRUE FALSE "no" TRUE
"179" "37kk0IW6jL7ZlxZF6k2QBg" 4 -79.4065795 43.641948 "ON" FALSE TRUE "no" FALSE
"180" "U9hNGJFMh5vZsLMZQNellw" 3 -73.6912598 45.4856741 "QC" TRUE TRUE "free" TRUE
"182" "8cusyHsqMhNAsrNSMpzB1A" 4 -79.3673155 43.6626591 "ON" TRUE TRUE "free" FALSE
"184" "sUzvletCYiIaZD_hbnNLEA" 3 -89.3246 43.0477 "WI" TRUE FALSE "free" FALSE
"185" "XvhSYgpJx6mc5MycXac-Iw" 3 -112.277288 33.4652553 "AZ" TRUE FALSE "no" TRUE
"187" "eS76100l3h7Ollb5s3_M4A" 4 -115.1189137 36.0280675 "NV" TRUE FALSE "paid" TRUE
"188" "K8ZeT5Y5L0SDh18wO0ZOAQ" 1.5 -111.939614 33.425763 "AZ" TRUE FALSE "free" TRUE
"190" "rVVEKv3F6ZzvA-FcorhzvQ" 3.5 -73.606522936 45.5482292031 "QC" TRUE FALSE "no" FALSE
"192" "p_wgylnWMXSLlPGCRYSarQ" 3 -79.5962780146 43.6718289618 "ON" TRUE FALSE "free" FALSE
"193" "G0EJjh-dqJBmSEhQRog-hQ" 4.5 -81.4009335 41.1549076 "OH" TRUE FALSE "no" TRUE
"195" "i-zvRNJ-KSG-sfdAzwImQQ" 3.5 -79.602806 43.595474 "ON" TRUE TRUE "no" TRUE
"197" "7fq6fN58ogXAzXzxywFX1Q" 4 -111.815311 33.415418 "AZ" TRUE FALSE "no" FALSE
"200" "gKXsFVhWyK7MLQhSKG5_mA" 2.5 -112.2370377 33.655723 "AZ" TRUE TRUE "free" TRUE
"201" "r5PLDU-4mSbde5XekTXSCA" 4.5 -111.927001 33.4743712 "AZ" TRUE FALSE "no" TRUE
"202" "x6bet3EbqPvtw4DSVNWIDw" 4 9.2035759 48.7108341 "BW" TRUE TRUE "free" FALSE
"203" "T96EG2iK3ZSv9ACiSFw4cw" 3.5 -80.1461382564 40.4440194463 "PA" TRUE FALSE "no" FALSE
"205" "JM9LVlM_o3k_CbCErIQYAg" 3 -114.8559293 35.9690008 "NV" TRUE FALSE "free" FALSE
"206" "NM3iiGNrwoyNKWXiRT-nKA" 2.5 -112.068919726 33.4529079822 "AZ" TRUE FALSE "no" FALSE
"207" "9Cq_NVvWZOEAzmE7tqJgmg" 4.5 -112.0722006 33.4589187 "AZ" TRUE FALSE "no" TRUE
"208" "Q4orLuzDAB9TnucYXksgLQ" 3.5 -79.4507830963 43.650806931 "ON" TRUE FALSE "no" FALSE
"209" "gSR9bmBa0HacSuMX5BIAxg" 3 -115.2695428 36.1435013 "NV" TRUE FALSE "no" TRUE
"210" "uxmL96QngoslrtMXaQ80nA" 4 -112.3801191 33.4926735 "AZ" TRUE TRUE "no" TRUE
"211" "hQ8JN52MjxbMUPfuhyL7jQ" 3.5 -115.1216168 36.2402794 "NV" TRUE FALSE "no" TRUE
"216" "XjbPr3o-YTsticeavLjTEg" 2 -73.57722 45.497981 "QC" TRUE TRUE "free" FALSE
"219" "Jk2XwkySutg0glHVcv1_Pw" 4 -112.0565062 33.5021428 "AZ" TRUE TRUE "no" TRUE
"221" "rN3gHTjqx5sOnoUpJ-6jyg" 4 -115.1512526 36.1362575 "NV" TRUE FALSE "no" TRUE
"226" "Q1LrCiy0D6uqliWKe-BxtQ" 2.5 -112.065237 33.488807 "AZ" TRUE TRUE "free" TRUE
"227" "L4ivYHVCDpIE0SrPaCn0LA" 3.5 -3.18082 55.9405446 "EDH" TRUE TRUE "free" FALSE
"228" "gqGrMnDYEToXOYajBuEvKQ" 2 -112.2019585 33.5241484 "AZ" TRUE FALSE "no" TRUE
"229" "LwQB9H3jZ9wTk24Lr-AnZQ" 4 -115.177009553 36.1190940945 "NV" FALSE TRUE "no" FALSE
"232" "dD6JQo5tCNtOtauaLaT0sg" 3.5 -112.201813809 33.6663937252 "AZ" TRUE TRUE "free" TRUE
"234" "SNn_I8VMds60C4bSXCyUtw" 4 -73.576272 45.495379 "QC" TRUE TRUE "free" TRUE
"235" "rxA9c0_XObabVL1WCTA4FA" 3.5 -79.407487 43.656333 "ON" TRUE FALSE "no" FALSE
"236" "REJPrXEZly4PDQNmiMGI8Q" 3 -115.313933321 36.2186971729 "NV" TRUE FALSE "no" FALSE
"237" "CYFfha5CmApflbpN1AhWHQ" 3.5 -89.382215 43.073216 "WI" TRUE FALSE "no" TRUE
"239" "YQ--LJ7pvjiDSqNv0TuKTQ" 4 -115.169034004 36.1248767264 "NV" TRUE TRUE "no" FALSE
"240" "m38PfxkTGgINuArSTX16iQ" 4 -79.380484 43.6567455 "ON" TRUE FALSE "free" TRUE
"241" "7T_2djdY6ldRugsuWb2S-A" 3 -79.4395608 43.8945058 "ON" TRUE FALSE "no" FALSE
"242" "4hG2j_ibsNblDgqei05U_g" 4 -115.173192 36.108713 "NV" TRUE TRUE "no" FALSE
"243" "afXMX5llxcMFzbaPaBBm6A" 3.5 -79.81408 40.4293092 "PA" TRUE TRUE "free" TRUE
"244" "769NudnrUxWFtJCGU66A_A" 3 -79.4020456979 43.6429141584 "ON" TRUE TRUE "free" FALSE
"249" "g-aAe8SqZlZTnN3oA8mNlw" 2.5 -111.978611678 33.4076914431 "AZ" TRUE FALSE "no" FALSE
"250" "vrpW_ZIjHvsAX3ByyeHjCA" 3.5 -111.9760265 33.3476259 "AZ" TRUE TRUE "free" TRUE
"251" "vPmk2RaVKYlvjvEqBr2abA" 2.5 -111.807617247 33.3747317 "AZ" TRUE FALSE "free" FALSE
"252" "JXYeMN_VyIZyrveANnIVpA" 2.5 -115.15543874 36.14409793 "NV" TRUE FALSE "no" TRUE
"254" "2skQeu3C36VCiB653MIfrw" 4 -112.008454 33.581757 "AZ" TRUE TRUE "no" TRUE
"256" "EVe1uRxc6qBdvd9lTWSH4g" 2 -73.5785314 45.4807189 "QC" TRUE FALSE "free" FALSE
"257" "epoEBSCz3Mh4X-vVvcioNA" 3 -111.80694 33.67895 "AZ" TRUE TRUE "free" TRUE
"258" "V1FSee0pZ-yReDQ28SAO3g" 4.5 -79.3511769 43.6588117 "ON" TRUE FALSE "no" FALSE
"262" "_3o05Wdjfc8jOvGZ_q177Q" 2.5 -111.6895637 33.3935671 "AZ" TRUE FALSE "no" TRUE
"264" "WgCx3vMpALkUo4w-zrHjhg" 4 -115.0298677 36.0395488 "NV" TRUE FALSE "free" TRUE
"267" "AqWBhU6SM7n6iY_q6o46Tw" 5 -79.4756437 43.7645162 "ON" TRUE FALSE "free" TRUE
"270" "v4qyBRpTBvOO55M4IAqNNg" 3.5 -112.341878 33.463543 "AZ" TRUE TRUE "no" FALSE
"271" "KMAC_44vOPCVH-E_doOisQ" 4 -111.8428221 33.3344883 "AZ" TRUE TRUE "free" TRUE
"272" "7UgP42G-5gtqlzfBtDuIAA" 3 -79.2645494722 43.6919088215 "ON" TRUE TRUE "no" TRUE
"273" "UkqdcwYv6_c-yW1JPCKlUA" 3.5 -111.9241346 33.6342998 "AZ" TRUE FALSE "no" TRUE
"275" "vn_UN1JnA57hpayj6ETpRQ" 2.5 -80.749548 35.303872 "NC" TRUE FALSE "free" FALSE
"276" "K-uQkfSUTwu5LIwPB4b_vg" 4 -111.924273 33.492287 "AZ" TRUE TRUE "free" FALSE
"277" "fN7ds9Dk4IfMsh4RT9x82w" 4.5 -111.9180171 33.5004819 "AZ" TRUE TRUE "free" TRUE
"278" "kByQQ4yd7ZbA0MAQKmRVvg" 2.5 -80.718237 35.370587 "NC" TRUE FALSE "free" FALSE
"280" "NOz8W_cUV3Dw5yLgFkKLGw" 3 -79.475629 43.6514389 "ON" TRUE TRUE "no" FALSE
"281" "OLg1IeS-QxZgNprQ4Hg9gg" 3.5 -73.5708912 45.5131909 "QC" TRUE FALSE "free" FALSE
"283" "1mkDrJRu3VABKy95gxD-Hg" 4.5 -112.056714 33.446778 "AZ" TRUE FALSE "no" TRUE
"284" "X6iU1PGjoztDwFdhV4RumA" 2 -111.6822375 33.3900539 "AZ" TRUE FALSE "no" FALSE
"286" "-0DET7VdEQOJVJ_v6klEug" 3 -79.348727 43.8483732 "ON" TRUE TRUE "no" FALSE
"288" "6DCTAExBd7sp92BcAl80Qw" 4.5 -81.3457443193 41.0971991322 "OH" TRUE FALSE "free" TRUE
"289" "l6ChWz5fwhkvuEmThuFl5w" 3.5 -89.36579 43.0819293 "WI" TRUE FALSE "free" FALSE
"290" "11bhfBbcFypczdz3N_w6iw" 3.5 -112.337768279 33.4940968351 "AZ" TRUE FALSE "no" FALSE
"291" "MV9fUwgI2AQa4uZArynRlA" 3 -80.868412 35.089838 "NC" TRUE FALSE "no" FALSE
"293" "LP6qd2sUvDcL2LoQjULk3g" 5 -112.0789355 33.4495511 "AZ" TRUE FALSE "no" TRUE
"296" "89-bwvH5mWWOOb00VTUyFQ" 2.5 -88.2490539551 40.0695988403 "IL" TRUE FALSE "free" FALSE
"297" "2yF0qgsSKHdawSRopnXguA" 3 -79.5609147 43.5753891 "ON" TRUE FALSE "free" FALSE
"300" "DwJlGxAJvohbDR_5jV-ERA" 2.5 -73.553274 45.507656 "QC" FALSE TRUE "no" FALSE
"301" "i5j3FrxdR224KIjfv8x2CQ" 4.5 -73.6176535 45.5318241 "QC" TRUE FALSE "no" FALSE
"306" "TFdLM8R_7Pf1xVeBNKl0hg" 4 -79.924797 40.458138 "PA" TRUE TRUE "free" TRUE
"309" "nepZ1HPAgBqw0TgJWbSgOA" 4.5 -115.08327132 36.0719033672 "NV" TRUE FALSE "no" TRUE
"310" "VeVjZ8aR_zFEM9jKJuvraw" 3.5 -79.3356472 43.6619327 "ON" TRUE FALSE "no" TRUE
"311" "arDp3i7B_ULDsbZcYk_57A" 4 -79.4365725 43.6405873 "ON" TRUE TRUE "free" TRUE
"317" "Zl6csaZ5HBka3SKBphHXrQ" 3.5 -79.3922846 43.6558282 "ON" TRUE TRUE "no" TRUE
"319" "8FZftD3Y5jQ2R44EDBqhlA" 4.5 -81.6774369 41.5011857 "OH" TRUE FALSE "no" TRUE
"320" "rH39kXAevsXeD-2HsmLj2g" 3.5 -73.5790686 45.4939778 "QC" TRUE TRUE "free" FALSE
"322" "OgANEur7Bt8YJSd2uSm6yA" 1.5 -80.9248119 35.1480979 "NC" TRUE FALSE "no" TRUE
"323" "uhQoPguihcZTo8yp5o2ohw" 2.5 -115.2913032 36.1691108 "NV" FALSE FALSE "free" FALSE
"325" "t58AtYOZqw9BlDdZHUrZbA" 4 -79.5656479 43.7377597 "ON" TRUE TRUE "free" TRUE
"328" "MWWOPM-o6lCEQ_SyD9AoaA" 4 -80.0276574 40.3463621 "PA" TRUE FALSE "no" FALSE
"330" "Q6kZqLHy-ikjMW-lBCXnKA" 2 -115.146624 36.080609 "NV" TRUE FALSE "free" FALSE
"331" "gTUaz3Wlh8eyQ3s7T-6txw" 2.5 -79.2948411405 43.8017281162 "ON" TRUE TRUE "free" TRUE
"332" "b7pkopqvDr7A7S7hlqp6cw" 3 -81.7347511 41.313753 "OH" TRUE FALSE "free" TRUE
"335" "wIMhHjK6LuGsvpXWR4ntPg" 4 -111.687216908 33.3745401014 "AZ" TRUE FALSE "free" FALSE
"338" "tIjoGxi2r6QvREucvQwZpA" 4.5 -79.8911726475 40.4530376642 "PA" TRUE FALSE "no" TRUE
"339" "ofw8aDSEg1HoQdmCgvLtaQ" 4.5 -79.512073852 43.6238814054 "ON" TRUE FALSE "no" TRUE
"341" "lv5Bnqlt93NnvNJ2oNcQ8Q" 4 -115.2519912 36.0618411 "NV" TRUE TRUE "free" TRUE
"342" "DHiXfpd_vSfCCeFXPSucTA" 4.5 -89.3570463 43.0982338 "WI" TRUE FALSE "free" TRUE
"344" "tdCf5SI9EOOq4rmMhsfu3w" 4 -73.7841270491 45.6158310048 "QC" TRUE TRUE "no" TRUE
"350" "i12YE6eVVW3Rou3yOHk6RA" 3.5 -79.6678679691 43.5920953729 "ON" TRUE TRUE "no" TRUE
"351" "kqW_BKO3XCOx8ifbzQsnGA" 3 -79.3206366 43.6837856 "ON" TRUE FALSE "free" FALSE
"352" "2JV0xGXsszojof2BuEt_hw" 3 -112.0637743 33.6536099 "AZ" TRUE FALSE "free" FALSE
"354" "1GaooxqCWHzulI2Ub3CXEw" 3 -80.0726191733 40.3906894285 "PA" TRUE FALSE "free" TRUE
"356" "YNI26xBkdOzI1TMGmIcEaw" 4 -81.6915189047 41.4993104059 "OH" TRUE FALSE "free" FALSE
"357" "w_A1qFeQ3vOl7o4kdBxPXA" 3.5 -115.211447937 36.1260441832 "NV" TRUE TRUE "free" FALSE
"362" "E7s0QreUJ2H9r0Ls1yDeiQ" 4 -3.1832812483 55.9495128423 "EDH" FALSE TRUE "no" FALSE
"364" "Ff3FKbwZ-fCT74G1F3_j1g" 4.5 -80.8321252 35.1523851 "NC" TRUE FALSE "free" TRUE
"371" "cTudgI-2jn-GlnZUmULy5Q" 3.5 -80.7085589208 35.1244838531 "NC" TRUE FALSE "free" TRUE
"373" "Kzk4Wvpp11EL-mWkDZLS7w" 3.5 -79.6530537965 43.5788653404 "ON" TRUE FALSE "free" FALSE
"375" "CmGiqR21BH7d6rsoBd-XSw" 3 -79.4694409 43.6655814 "ON" TRUE FALSE "no" FALSE
"377" "9aH2RIxER2_9GlX12l3K-w" 4.5 -73.6264238 45.4713633 "QC" TRUE TRUE "no" FALSE
"381" "BeqWMUzFZCqz8na056XFTQ" 4 -82.1200009 41.444172 "OH" TRUE FALSE "no" FALSE
"383" "oAbPUdAp-7HgJ9hHkanAbA" 3.5 -115.217166329 36.1152680289 "NV" TRUE TRUE "no" TRUE
"384" "RHO331ipxuIYqvmn__Sxwg" 4 -111.852751 33.731835 "AZ" TRUE TRUE "free" TRUE
"385" "cA6XNsR0aI3yTlBn-eA08g" 3 -79.3104886 43.8649716 "ON" TRUE TRUE "free" FALSE
"387" "cywq9_82MXfAygeO0h5jsg" 2 -115.160711555 36.2188159185 "NV" TRUE FALSE "no" FALSE
"389" "WHz8BX4y0q4liGG3wfBRfQ" 2.5 -112.271183431 33.5089245119 "AZ" TRUE FALSE "free" FALSE
"392" "9g0JuC-_vx35T0m3lidwBw" 4 -111.9023105 33.466187 "AZ" TRUE FALSE "free" TRUE
"393" "ZN8EHmoe4Xjy4q4Y8ROEfw" 4 -111.9076146 33.4581306 "AZ" TRUE FALSE "no" TRUE
"395" "Hza5nxnDz-MEnCG-Im6-Nw" 5 -79.4519268 43.6532229 "ON" TRUE FALSE "free" TRUE
"396" "0-TtzWmjREl7lIKDcmGONQ" 2.5 -111.9392497 33.3714095 "AZ" TRUE TRUE "free" TRUE
"398" "v1vcs-uSAQcjTFsHxS1dug" 3 -112.0663045 33.6080928 "AZ" TRUE TRUE "free" TRUE
"399" "xVmR_J2FjrGNOrWn_y2QKg" 3.5 9.1782501749 48.7803247492 "BW" FALSE TRUE "free" FALSE
"401" "rVZfapnQgyVLsNWA583u-A" 4 -115.242586696 36.0527369758 "NV" TRUE FALSE "no" TRUE
"404" "9b-rXZbHAAxv_0sSWlcyEQ" 3.5 -79.3107603 43.8611409 "ON" TRUE TRUE "no" FALSE
"408" "6YGQcH6v5ndd-Q4ovVRLDQ" 3.5 -80.711771 35.133802 "NC" TRUE FALSE "free" TRUE
"409" "iiEjVLb4JDLE2xl8YGR-Gw" 4 -89.4010070761 43.0608156262 "WI" TRUE TRUE "no" FALSE
"410" "5X3dzKWnBdV-KmxdGEPb_Q" 4 -79.4425498 43.6583962 "ON" TRUE FALSE "no" FALSE
"411" "5ZgKY97cfRijcosskzIXbg" 4.5 -73.6081057 45.5306524 "QC" TRUE FALSE "free" FALSE
"412" "aUrOyWFKxKeVXiFzwbTXSA" 4 -89.355528 43.0922989 "WI" TRUE TRUE "no" FALSE
"413" "J8cLxK-DIl8ZweElFLec7Q" 3.5 -79.3934495 43.6456489 "ON" TRUE TRUE "no" FALSE
"416" "3PshdJtSwd_poaPL7fIOHg" 4 -115.236737 36.159221 "NV" TRUE FALSE "free" TRUE
"418" "UgWVMUWFrr6bt3NSfuKrGQ" 2 -81.5802228 41.5092215 "OH" TRUE FALSE "no" FALSE
"419" "oHUJ32cUOpP1qe36CURKEg" 3 -111.7485226 33.2968019 "AZ" TRUE FALSE "free" TRUE
